density radius mass
399.999992026273 11.413777947125682 0.8174221242012533
410.71504149676144 11.40329114353543 0.8574175397703558
421.7171216253026 11.39516756328947 0.8985196828551576
433.01392134338465 11.388816400551729 0.9405431745340718
444.61333550731683 11.383942252404173 0.9835152556318452
456.52347036677463 11.379806611551704 1.0272813154885239
468.7526494605181 11.37611407507629 1.0717517729473007
481.30941915394214 11.372569240059885 1.116688998213052
494.2025548255468 11.368876703584462 1.162011758636856
507.44106701465955 11.364593361272963 1.2074689432304273
521.0342074701256 11.35942381020735 1.2530459672230805
534.9914758229881 11.3532203489286 1.2985126784257348
549.3226262424562 11.345687574518678 1.3437294897133842
564.0376740688031 11.33667778551857 1.3884317314346415
579.1469030016847 11.325895579010236 1.4327186541194779
594.660872411399 11.31348865645269 1.4762426132598254
610.5904240619764 11.299161614927902 1.518987940823582
626.9466904661981 11.28276675297685 1.560914158500262
643.7411025601016 11.264451772058555 1.6016212647630437
660.9853968776936 11.244216672173016 1.641217193026255
678.6916247984663 11.221766050402193 1.679668556604491
696.8721606787166 11.197395309664126 1.7167259108390793
715.5397096244751 11.171399852876851 1.7522237885861272
734.7073179581511 11.143188874204295 1.786381548442007
754.3883810954005 11.113057776564492 1.8192123750484044
774.5966528163725 11.08130196287549 1.850272225029006
795.3462561468357 11.047773731678253 1.8798485932563946
816.6516919601935 11.012768485890835 1.9078982347783744
838.5278500542131 10.976138524054207 1.9343582571453493
860.9900181295002 10.938474652004448 1.9592185550678467
884.0538942877904 10.899186063905486 1.9826062625364396
907.7355967243498 10.858715864134371 2.004498212689908
932.0516756876607 10.817211754150122 2.024876718683381
957.0191249527477 10.774969136870784 2.043742509782907
982.6553923663224 10.731692609378308 2.0611667267270573
1008.978394453788 10.687677574590742 2.0772235779041583
1036.006527190323 10.642924032508084 2.091966798887058
1063.7586791816227 10.597579684589348 2.1054446545532692
1092.254245852587 10.551939933752577 2.1176350774029506
1121.5131404497579 10.505857078538744 2.128632476335551
1151.5558112777683 10.459478820406877 2.138507599799754
1182.4032537374774 10.412805159356973 2.1473070715790556
1214.077025697339 10.36598379684805 2.155072929054685
1246.5992625456456 10.319162434339123 2.1618470208361558
1279.9926935263973 10.272341071830201 2.1676642890112667
1314.2806545947215 10.225372007862257 2.17261581569879
1349.4871082070733 10.178698346812348 2.17672809865296
1385.636659004048 10.132172387221463 2.180050398887042
1422.7545701674408 10.08579412908959 2.1826287466010132
1460.866782397623 10.039415870957724 2.1845106241647656
1499.9999277728878 9.993333015743888 2.185735080540069
