density radius mass
299.9999935571532 12.045792490265988 0.6084819347836371
310.2138755844821 12.010787244478687 0.64495499524074
320.775502694049 11.981690057052127 0.6828994348423417
331.6967138645005 11.957614719232193 0.7223008932032436
342.9897515934766 11.937379619346737 0.7631351057318179
354.66727499165927 11.920837055936735 0.8043511379470958
366.74237474958164 11.906510014412012 0.8466641230610157
379.2285866737811 11.893512286018447 0.8900936047910234
392.1399076018477 11.881696169297024 0.9345772122920111
405.4908106758545 11.870175455493635 0.9792564155715321
419.2962624883541 11.858802443149258 1.024217032238376
433.57173850793026 11.846543222050768 1.0698085372037671
448.3332413075749 11.833397792198156 1.1159400174542555
463.59731803094576 11.819070750673395 1.1615844973301974
479.3810799483131 11.802971291640404 1.2071341784689031
495.70222016077963 11.784951713640165 1.2527692387893787
512.5790341013399 11.764716613754645 1.2981109048361321
530.0304409647601 11.742709096360898 1.3422952810763822
548.0760032196678 11.718042952704808 1.3861222581685853
566.7359496430689 11.690570481327363 1.4294916775035795
586.0311972810028 11.66132559244169 1.4708974390139098
605.9833766405646 11.629274375834662 1.511489430009756
626.6148533757117 11.594416831506273 1.5512337587700706
647.9487547916139 11.557196063833583 1.5894919543240393
670.0089962965815 11.517021266980521 1.6266560524227782
692.8203061409076 11.47418784386512 1.662638640665301
716.4082567574619 11.430320510536587 1.6960449517141996
740.7992892094678 11.383942252404731 1.7281738113509162
766.020745072937 11.335053069469561 1.7588037108732641
792.1008978855052 11.284391469026161 1.787691932241529
819.0689827279193 11.231366645238463 1.8151916460775692
846.9552297458057 11.176864806860575 1.84077658125151
875.7909001684483 11.12073825243348 1.8647562505656132
905.608317084841 11.062691579039141 1.8871715727037848
936.4409065471208 11.003906398349713 1.9077773494759807
968.3232307870429 10.943201098693038 1.926969120148488
1001.2910283958577 10.882495799036358 1.9442897343639023
1035.381257578525 10.820313484789496 1.9601815835607967
1070.6321310833825 10.757688066165574 1.9745068078301384
1107.0831663568752 10.694471841705576 1.987375737026456
1144.775222461106 10.630517109950487 1.9988556025583082
1183.7505536218084 10.566710079654415 2.0089253954651785
1224.0528481557374 10.502164542063248 2.017739946096621
1265.7272869275819 10.438209810308154 2.025224480112239
1308.8205839272468 10.373516571257968 2.03158512913855
1353.381048084442 10.309414138043861 2.0367876115107832
1399.4586281128923 10.244868600452689 2.0409583648886565
1447.1049797181097 10.181504674533672 2.0440701657637628
1496.3735104273612 10.117697644237596 2.0462543226025423
1547.319452398429 10.054924524154654 2.0475310801189415
1599.9999119616737 9.992003702612688 2.0479715910662795
