Channel:,Lum, Red, Green, Blue
Means:,600,5776, 760,5595, 697,8486, 343,5733
Note: Peaks measured from 20% upward
193, 74, 95, 96, 46
194, 66, 87, 113, 46
195, 68, 90, 101, 38
196, 71, 89, 103, 40
197, 74, 82, 97, 40
198, 57, 90, 95, 45
199, 57, 99, 100, 43
200, 57, 74, 94, 28
201, 72, 73, 91, 39
202, 60, 63, 85, 35
203, 63, 69, 77, 36
204, 57, 74, 94, 38
205, 47, 72, 79, 43
206, 57, 91, 95, 43
207, 68, 91, 67, 38
208, 56, 74, 80, 38
209, 50, 70, 67, 39
210, 46, 74, 69, 33
211, 48, 50, 76, 24
212, 58, 54, 75, 34
213, 59, 64, 86, 40
214, 57, 62, 71, 27
215, 65, 55, 68, 33
216, 55, 57, 68, 29
217, 28, 65, 64, 27
218, 48, 60, 63, 33
219, 52, 68, 72, 41
220, 37, 61, 67, 42
221, 46, 59, 66, 34
222, 51, 63, 66, 32
223, 29, 58, 48, 30
224, 43, 47, 68, 22
225, 54, 63, 47, 26
226, 52, 36, 62, 31
227, 45, 40, 69, 28
228, 38, 47, 48, 20
229, 48, 57, 54, 21
230, 33, 52, 51, 37
231, 39, 48, 42, 22
232, 33, 49, 71, 30
233, 35, 50, 51, 29
234, 46, 46, 51, 18
235, 44, 46, 48, 29
236, 22, 35, 45, 34
237, 52, 42, 54, 19
238, 36, 42, 43, 23
239, 32, 41, 49, 28
240, 43, 52, 47, 26
241, 30, 49, 40, 23
242, 31, 46, 34, 33
243, 37, 45, 49, 25
244, 25, 41, 59, 33
245, 41, 45, 46, 32
246, 38, 33, 34, 23
247, 36, 25, 40, 24
248, 43, 34, 40, 16
249, 32, 35, 44, 21
250, 30, 50, 38, 24
251, 37, 39, 36, 17
252, 32, 35, 26, 24
253, 31, 36, 44, 24
254, 30, 37, 37, 26
255, 29, 44, 41, 27
256, 21, 35, 43, 21
257, 26, 39, 41, 27
258, 41, 30, 27, 19
259, 41, 30, 51, 20
260, 38, 42, 34, 32
261, 26, 30, 43, 14
262, 33, 42, 45, 33
263, 32, 34, 33, 14
264, 25, 41, 36, 28
265, 24, 32, 36, 23
266, 21, 42, 27, 20
267, 29, 33, 30, 27
268, 21, 37, 29, 14
269, 23, 29, 27, 21
270, 33, 32, 27, 15
271, 28, 37, 23, 20
272, 27, 33, 32, 12
273, 29, 27, 40, 22
274, 22, 43, 32, 20
275, 17, 31, 26, 15
276, 24, 27, 34, 22
277, 21, 35, 22, 17
278, 18, 28, 42, 21
279, 27, 31, 36, 19
280, 28, 25, 32, 15
281, 24, 17, 27, 25
282, 23, 22, 38, 11
283, 27, 26, 29, 16
284, 20, 29, 26, 18
285, 23, 31, 41, 23
286, 20, 31, 24, 17
287, 25, 23, 34, 18
288, 30, 27, 30, 27
289, 14, 30, 13, 22
290, 23, 28, 36, 13
291, 26, 33, 19, 12
292, 28, 24, 34, 19
293, 36, 21, 21, 15
294, 31, 24, 21, 20
295, 26, 18, 25, 19
296, 24, 25, 27, 18
297, 20, 31, 25, 20
298, 14, 23, 32, 19
299, 20, 24, 25, 15
300, 23, 24, 25, 20
301, 18, 28, 15, 12
302, 19, 23, 28, 19
303, 15, 24, 28, 20
304, 16, 25, 25, 13
305, 17, 19, 25, 16
306, 22, 24, 19, 14
307, 12, 24, 22, 19
308, 19, 22, 32, 13
309, 19, 22, 17, 14
310, 17, 18, 22, 12
311, 19, 25, 22, 8
312, 14, 16, 32, 18
313, 22, 16, 20, 18
314, 17, 16, 15, 35
315, 27, 22, 23, 13
316, 21, 25, 20, 20
317, 18, 21, 26, 17
318, 21, 23, 19, 16
319, 27, 31, 29, 10
320, 14, 19, 21, 17
321, 22, 23, 22, 19
322, 13, 21, 22, 10
323, 24, 25, 26, 14
324, 17, 12, 20, 18
325, 16, 15, 21, 23
326, 17, 12, 12, 21
327, 22, 17, 11, 18
328, 11, 21, 23, 16
329, 18, 22, 21, 19
330, 17, 18, 17, 17
331, 22, 11, 15, 14
332, 14, 27, 17, 18
333, 15, 21, 16, 18
334, 20, 19, 19, 8
335, 12, 18, 16, 21
336, 13, 16, 15, 11
337, 18, 9, 20, 13
338, 12, 23, 18, 8
339, 11, 14, 13, 11
340, 14, 19, 24, 18
341, 13, 15, 20, 11
342, 14, 19, 28, 9
343, 21, 14, 16, 12
344, 17, 16, 20, 11
345, 19, 19, 10, 12
346, 19, 15, 19, 13
347, 9, 20, 21, 14
348, 17, 17, 21, 21
349, 11, 16, 27, 14
350, 27, 20, 11, 15
351, 9, 16, 15, 12
352, 9, 14, 22, 11
353, 14, 15, 18, 13
354, 17, 14, 13, 16
355, 15, 20, 20, 18
356, 13, 18, 17, 13
357, 18, 13, 22, 8
358, 22, 15, 13, 15
359, 10, 18, 14, 18
360, 18, 13, 21, 16
361, 16, 11, 11, 19
362, 13, 16, 13, 11
363, 13, 18, 10, 12
364, 10, 11, 12, 10
365, 13, 23, 11, 5
366, 9, 18, 11, 19
367, 19, 15, 19, 14
368, 15, 19, 19, 13
369, 15, 20, 21, 8
370, 15, 15, 15, 17
371, 11, 13, 12, 9
372, 18, 10, 25, 8
373, 13, 18, 17, 11
374, 16, 15, 16, 9
375, 10, 13, 11, 17
376, 10, 12, 14, 6
377, 13, 7, 17, 10
378, 14, 11, 15, 14
379, 14, 16, 12, 12
380, 12, 13, 19, 11
381, 15, 13, 14, 9
382, 12, 13, 15, 6
383, 14, 19, 19, 10
384, 13, 14, 18, 15
385, 15, 11, 13, 12
386, 15, 6, 9, 8
387, 11, 11, 19, 13
388, 14, 11, 12, 14
389, 13, 14, 16, 9
390, 15, 18, 12, 6
391, 9, 11, 19, 8
392, 18, 16, 10, 15
393, 12, 14, 17, 11
394, 11, 12, 13, 14
395, 12, 6, 4, 7
396, 14, 8, 22, 15
397, 15, 15, 15, 8
398, 11, 18, 14, 11
399, 18, 9, 15, 11
400, 12, 17, 16, 9
401, 9, 11, 15, 9
402, 10, 10, 12, 9
403, 7, 12, 9, 7
404, 16, 13, 11, 9
405, 13, 19, 10, 11
406, 10, 10, 13, 14
407, 11, 8, 13, 13
408, 12, 8, 9, 9
409, 15, 10, 14, 12
410, 17, 14, 11, 11
411, 7, 13, 11, 15
412, 11, 15, 6, 10
413, 9, 16, 15, 13
414, 13, 9, 7, 9
415, 19, 12, 9, 11
416, 14, 9, 15, 15
417, 15, 8, 16, 12
418, 11, 10, 10, 19
419, 18, 9, 10, 6
420, 6, 18, 16, 15
421, 8, 6, 12, 18
422, 14, 15, 11, 11
423, 11, 9, 9, 22
424, 10, 13, 7, 5
425, 7, 15, 10, 9
426, 17, 13, 19, 8
427, 12, 12, 11, 19
428, 13, 13, 8, 12
429, 12, 11, 14, 12
430, 7, 15, 13, 11
431, 11, 4, 8, 7
432, 9, 17, 11, 10
433, 16, 17, 14, 6
434, 20, 8, 15, 10
435, 6, 8, 9, 14
436, 7, 7, 9, 15
437, 10, 12, 13, 14
438, 15, 11, 11, 9
439, 13, 6, 5, 11
440, 8, 13, 10, 9
441, 6, 10, 13, 8
442, 8, 13, 19, 9
443, 8, 14, 8, 5
444, 6, 17, 5, 10
445, 15, 8, 13, 5
446, 10, 12, 11, 5
447, 12, 12, 13, 12
448, 8, 12, 15, 9
449, 13, 11, 9, 11
450, 12, 12, 11, 10
451, 10, 11, 6, 9
452, 7, 14, 9, 8
453, 7, 13, 9, 10
454, 10, 9, 14, 12
455, 4, 7, 14, 10
456, 6, 6, 7, 7
457, 7, 10, 5, 11
458, 11, 11, 11, 14
459, 5, 15, 11, 9
460, 14, 9, 6, 16
461, 8, 9, 8, 7
462, 5, 10, 17, 8
463, 10, 10, 10, 11
464, 9, 13, 11, 12
465, 11, 10, 14, 10
466, 11, 13, 20, 2
467, 15, 6, 16, 5
468, 7, 13, 9, 10
469, 12, 6, 6, 7
470, 7, 7, 14, 8
471, 4, 14, 3, 16
472, 7, 10, 9, 9
473, 9, 6, 11, 6
474, 6, 7, 13, 10
475, 10, 12, 9, 7
476, 3, 14, 15, 9
477, 13, 7, 5, 7
478, 8, 15, 5, 12
479, 9, 9, 14, 11
480, 10, 4, 5, 11
481, 13, 9, 8, 8
482, 9, 8, 8, 9
483, 5, 11, 7, 8
484, 10, 7, 11, 6
485, 6, 6, 8, 13
486, 8, 7, 11, 19
487, 9, 14, 7, 7
488, 6, 7, 9, 6
489, 7, 5, 14, 11
490, 12, 5, 5, 5
491, 8, 15, 7, 14
492, 9, 8, 11, 7
493, 7, 11, 14, 5
494, 12, 9, 8, 8
495, 14, 5, 5, 15
496, 12, 12, 10, 11
497, 6, 9, 9, 14
498, 12, 12, 4, 6
499, 8, 11, 9, 14
500, 6, 7, 12, 7
501, 8, 5, 8, 1
502, 7, 8, 6, 8
503, 9, 7, 10, 5
504, 6, 9, 12, 7
505, 9, 1, 8, 13
506, 9, 8, 4, 8
507, 10, 10, 11, 8
508, 5, 5, 8, 10
509, 4, 7, 9, 3
510, 15, 9, 6, 10
511, 3, 9, 7, 20
512, 5, 12, 10, 13
513, 6, 13, 10, 11
514, 5, 7, 8, 12
515, 5, 6, 13, 8
516, 8, 6, 11, 5
517, 10, 12, 13, 7
518, 8, 11, 9, 9
519, 9, 6, 10, 7
520, 6, 4, 6, 10
521, 4, 4, 8, 9
522, 10, 8, 16, 6
523, 3, 10, 6, 3
524, 6, 8, 9, 9
525, 7, 9, 7, 6
526, 2, 4, 10, 8
527, 3, 3, 6, 6
528, 8, 6, 4, 6
529, 8, 13, 5, 11
530, 8, 4, 12, 7
531, 11, 6, 5, 7
532, 13, 8, 7, 8
533, 12, 10, 16, 10
534, 11, 9, 6, 7
535, 10, 4, 8, 6
536, 11, 6, 8, 7
537, 9, 16, 5, 3
538, 8, 8, 15, 5
539, 8, 6, 6, 4
540, 6, 8, 10, 9
541, 11, 8, 9, 7
542, 9, 8, 8, 5
543, 14, 5, 9, 6
544, 6, 12, 9, 4
545, 12, 8, 6, 4
546, 11, 5, 5, 10
547, 5, 7, 7, 7
548, 5, 5, 3, 8
549, 9, 5, 13, 4
550, 6, 9, 5, 8
551, 10, 11, 11, 12
552, 10, 9, 4, 9
553, 2, 7, 6, 8
554, 10, 10, 7, 8
555, 12, 6, 7, 6
556, 7, 8, 10, 7
557, 7, 5, 4, 8
558, 10, 5, 11, 8
559, 8, 9, 5, 10
560, 9, 7, 7, 2
561, 9, 8, 3, 10
562, 7, 11, 7, 10
563, 7, 10, 6, 8
564, 8, 6, 9, 5
565, 9, 6, 8, 12
566, 9, 6, 5, 7
567, 5, 10, 9, 10
568, 3, 14, 6, 5
569, 11, 5, 8, 11
570, 5, 8, 9, 7
571, 7, 7, 9, 7
572, 10, 5, 7, 17
573, 2, 7, 5, 8
574, 4, 9, 4, 6
575, 8, 5, 7, 5
576, 6, 5, 5, 8
577, 6, 9, 4, 8
578, 8, 6, 5, 12
579, 8, 9, 6, 8
580, 10, 6, 5, 7
581, 4, 10, 7, 10
582, 8, 6, 5, 5
583, 6, 2, 6, 6
584, 7, 9, 5, 7
585, 14, 12, 5, 6
586, 5, 8, 7, 7
587, 7, 5, 9, 12
588, 12, 4, 3, 8
589, 7, 9, 12, 7
590, 10, 8, 7, 7
591, 4, 6, 8, 9
592, 7, 6, 8, 4
593, 8, 8, 5, 2
594, 3, 12, 6, 7
595, 6, 12, 12, 6
596, 5, 7, 13, 7
597, 2, 8, 5, 7
598, 5, 7, 5, 7
599, 7, 8, 5, 9
600, 6, 10, 6, 12
601, 6, 6, 12, 3
602, 8, 6, 8, 5
603, 9, 11, 3, 7
604, 8, 6, 6, 5
605, 6, 12, 9, 11
606, 4, 4, 8, 8
607, 8, 10, 5, 3
608, 5, 11, 8, 7
609, 5, 11, 14, 12
610, 9, 8, 10, 6
611, 3, 8, 4, 7
612, 9, 9, 7, 8
613, 9, 7, 8, 2
614, 8, 3, 7, 8
615, 6, 9, 9, 10
616, 10, 5, 7, 6
617, 8, 9, 3, 5
618, 7, 4, 6, 8
619, 7, 6, 4, 6
620, 10, 8, 8, 7
621, 13, 5, 9, 8
622, 4, 10, 5, 3
623, 11, 7, 7, 11
624, 8, 2, 9, 7
625, 7, 5, 5, 4
626, 7, 2, 4, 7
627, 4, 6, 6, 4
628, 8, 5, 7, 6
629, 6, 6, 8, 3
630, 5, 9, 5, 9
631, 0, 5, 8, 3
632, 6, 5, 11, 9
633, 2, 12, 8, 10
634, 4, 6, 5, 6
635, 3, 7, 8, 7
636, 7, 6, 5, 6
637, 4, 9, 3, 10
638, 4, 6, 3, 4
639, 5, 2, 11, 4
640, 4, 7, 5, 14
641, 2, 7, 5, 4
642, 13, 6, 7, 8
643, 3, 8, 8, 5
644, 6, 5, 1, 7
645, 2, 6, 6, 4
646, 8, 6, 9, 3
647, 7, 4, 5, 7
648, 7, 7, 9, 6
649, 9, 1, 3, 5
650, 8, 8, 10, 7
651, 6, 4, 2, 5
652, 3, 5, 4, 6
653, 7, 4, 7, 6
654, 7, 3, 8, 6
655, 4, 8, 7, 7
656, 6, 4, 3, 7
657, 4, 5, 4, 7
658, 8, 8, 6, 7
659, 9, 14, 6, 6
660, 3, 5, 6, 6
661, 6, 8, 9, 9
662, 5, 6, 10, 15
663, 6, 6, 5, 7
664, 4, 12, 5, 7
665, 12, 7, 7, 11
666, 8, 3, 5, 7
667, 5, 6, 7, 7
668, 7, 5, 6, 3
669, 6, 3, 5, 12
670, 5, 5, 7, 7
671, 12, 3, 7, 3
672, 4, 4, 4, 8
673, 8, 4, 8, 13
674, 10, 7, 4, 5
675, 4, 5, 11, 6
676, 8, 8, 5, 8
677, 4, 5, 7, 9
678, 11, 4, 5, 8
679, 8, 7, 10, 4
680, 6, 6, 4, 8
681, 5, 8, 4, 5
682, 10, 4, 3, 6
683, 3, 5, 5, 8
684, 7, 4, 3, 9
685, 2, 2, 5, 10
686, 8, 6, 2, 5
687, 3, 11, 5, 9
688, 5, 3, 6, 3
689, 4, 8, 3, 4
690, 6, 5, 7, 12
691, 6, 2, 6, 7
692, 5, 6, 7, 7
693, 6, 5, 3, 3
694, 4, 8, 4, 8
695, 7, 2, 5, 2
696, 4, 2, 4, 1
697, 9, 5, 4, 6
698, 3, 6, 6, 3
699, 6, 4, 6, 9
700, 7, 7, 4, 10
701, 3, 4, 8, 8
702, 9, 5, 3, 2
703, 0, 8, 9, 6
704, 8, 3, 6, 5
705, 11, 9, 3, 6
706, 10, 7, 6, 5
707, 3, 6, 4, 6
708, 9, 11, 3, 4
709, 4, 5, 7, 3
710, 10, 6, 3, 7
711, 8, 4, 6, 6
712, 3, 2, 6, 2
713, 7, 7, 7, 6
