density radius mass
399.999991522997 11.874901902182206 0.9611478337013528
410.715040892087 11.865892113182118 0.9963678003560086
421.71712097028956 11.856734622723009 1.032014317613189
433.01392062803046 11.84713402788684 1.0680448171461914
444.61333470228857 11.836794925755575 1.1044143990294673
456.5234692668108 11.82571731632921 1.140721512807107
468.75264826826424 11.813901199607754 1.176614624176591
481.3094179125562 11.800903471214147 1.21260375188985
494.20255357426004 11.786724131148386 1.2486384463736506
507.4410656993577 11.771067776492437 1.2846670357862628
521.0342057938808 11.754229810164338 1.3197411785609419
534.991474101978 11.736062530705064 1.3545312495899484
549.3226244572764 11.716270535196587 1.3890809390925476
564.0376722709309 11.694706122179882 1.423341156178955
579.1469008107201 11.671960097491027 1.4563832267359968
594.6608700882392 11.647737058211982 1.4887202850157297
610.5904217307426 11.621741601424711 1.5205575704508665
626.9466882016552 11.5938260256702 1.5518550208580142
643.7410999415541 11.564728838243534 1.582137379310313
660.9853942811362 11.533711531849626 1.6117337227899091
678.6916222796509 11.500921807947494 1.64065857805617
696.8721573356518 11.466802770914189 1.6685466815607881
715.5397063904984 11.432092928044812 1.6948565056708136
734.7073147131698 11.395610667667205 1.7203705628005026
754.388377702179 11.357503691240394 1.7450678644186801
774.5966492098526 11.31851050605947 1.7685628066014367
795.3462526382388 11.278040306288359 1.7911252445442616
816.6516886189303 11.23609309192706 1.8128202803287319
838.5278459687925 11.193259668811647 1.8333378640653786
860.9900141629367 11.14954003694212 1.8527264140026793
884.0538904452736 11.104491091941426 1.871225961923523
907.7355925033943 11.058703639645639 1.8886617936234664
932.051671677843 11.012325381513776 1.904971198872686
957.0191208045034 10.964765511709762 1.9203981483965376
982.6553876116218 10.916614836069675 1.9347728267697197
1008.9783899464618 10.868464160429584 1.9480403046425694
1036.0065229287507 10.819279574576363 1.9604556823125732
1063.758674405586 10.769799585805103 1.971881855506141
1092.2542409271796 10.720171895574829 1.9823481462432724
1121.5131359193972 10.669657996590438 1.9920078385568776
1151.5558060500155 10.619439500524086 2.0007203676834657
1182.4032489230815 10.568925601539693 2.008602778004256
1214.0770214347574 10.51767319526021 2.0157357788024926
1246.5992575465993 10.467306997734836 2.0219594965231638
1279.9926884160143 10.416497695832406 2.027480713588768
1314.2806487966222 10.365688393929979 2.0322886839692815
1349.4871031341963 10.315174494945586 2.0363805063748965
1385.6366546455624 10.263922088666103 2.039834080861007
1422.7545647690645 10.213703592599748 2.04261019358483
1460.8667772439846 10.163337395074374 2.0447811183528843
1499.9999236843425 10.113118899008018 2.0463753149692088
